ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Future_Price_5Y,Good_Investment,Luxury_Property,Spacious_Property
38684,Haryana,Gurgaon,Locality_123,Independent House,4,692,256.62,0.37,2022,Semi-furnished,15,24,3,6,6,Medium,Yes,No,"Playground, Pool",South,Builder,Ready_to_Move,360.76666080000007,0,1,0
64940,Andhra Pradesh,Vishakhapatnam,Locality_74,Apartment,2,3094,86.04,0.03,2015,Furnished,3,18,10,3,8,Medium,No,No,"Gym, Clubhouse, Pool, Garden",South,Builder,Under_Construction,117.52031520000001,0,0,1
3955,Madhya Pradesh,Bhopal,Locality_486,Apartment,3,4993,237.86,0.05,1995,Unfurnished,19,27,30,10,1,High,No,No,"Gym, Pool, Playground, Clubhouse, Garden",West,Owner,Ready_to_Move,331.3056796,0,1,1
120375,Punjab,Ludhiana,Locality_13,Villa,1,2461,339.41,0.14,2018,Semi-furnished,20,14,7,10,5,Low,Yes,No,"Pool, Gym",South,Owner,Under_Construction,482.03687020000007,0,1,1
172862,Haryana,Faridabad,Locality_22,Independent House,2,4535,124.99,0.03,1991,Semi-furnished,25,5,34,5,9,Medium,No,Yes,Pool,South,Builder,Under_Construction,174.948503,0,0,1
149304,Delhi,New Delhi,Locality_62,Villa,1,3228,35.17,0.01,2019,Semi-furnished,7,13,6,7,7,Low,Yes,No,"Clubhouse, Gym",West,Owner,Under_Construction,50.0666052,1,0,1
111627,Madhya Pradesh,Indore,Locality_248,Apartment,1,3461,275.75,0.08,2002,Furnished,11,6,23,2,8,High,No,Yes,"Playground, Pool, Gym, Clubhouse, Garden",North,Broker,Under_Construction,371.49591499999997,0,1,1
164554,Maharashtra,Pune,Locality_464,Apartment,3,2653,374.76,0.14,2020,Unfurnished,3,21,5,9,9,Low,Yes,No,"Pool, Clubhouse, Playground, Gym, Garden",East,Builder,Under_Construction,554.6672856,0,1,1
55780,Karnataka,Bangalore,Locality_215,Villa,3,2217,476.35,0.21,2020,Semi-furnished,11,7,5,9,8,Medium,No,No,"Garden, Playground, Gym, Clubhouse, Pool",South,Broker,Under_Construction,682.771509,0,1,1
141991,Jharkhand,Jamshedpur,Locality_127,Apartment,3,4974,208.0,0.04,2007,Unfurnished,21,19,18,9,4,Medium,Yes,No,"Garden, Playground, Gym, Pool",South,Owner,Under_Construction,303.77984,0,1,1
176729,Tamil Nadu,Chennai,Locality_346,Villa,2,2270,256.17,0.11,2003,Unfurnished,11,4,22,3,7,Medium,No,Yes,"Clubhouse, Playground",West,Broker,Under_Construction,343.882608,0,1,1
22050,Karnataka,Mangalore,Locality_283,Villa,3,3471,232.85,0.07,2015,Unfurnished,21,26,10,7,10,High,No,No,"Playground, Garden, Pool, Gym",West,Owner,Under_Construction,336.333197,1,1,1
77432,Chhattisgarh,Raipur,Locality_226,Apartment,5,569,297.51,0.52,1998,Unfurnished,22,5,27,6,10,Low,Yes,Yes,"Gym, Playground, Pool, Clubhouse",East,Owner,Ready_to_Move,424.65982379999997,0,1,0
111500,Chhattisgarh,Raipur,Locality_231,Villa,4,4296,251.02,0.06,2022,Furnished,10,22,3,6,6,Medium,No,No,Clubhouse,East,Broker,Under_Construction,363.45687840000005,1,1,1
228765,Kerala,Trivandrum,Locality_14,Apartment,2,4424,355.61,0.08,2008,Furnished,22,20,17,4,3,Medium,No,Yes,"Garden, Gym, Playground, Clubhouse",South,Broker,Ready_to_Move,488.4232228,0,1,1
29676,Delhi,New Delhi,Locality_38,Villa,3,2257,188.68,0.08,2011,Furnished,12,21,14,1,8,High,Yes,No,"Gym, Playground, Pool, Garden, Clubhouse",South,Owner,Under_Construction,257.7632952,0,1,1
36727,Tamil Nadu,Coimbatore,Locality_311,Villa,2,4675,418.06,0.09,2006,Unfurnished,15,15,19,4,7,High,Yes,Yes,"Pool, Playground, Clubhouse",West,Owner,Ready_to_Move,600.54319,0,1,1
75960,Chhattisgarh,Bilaspur,Locality_409,Independent House,5,2310,425.27,0.18,2010,Semi-furnished,23,23,15,6,7,Medium,No,Yes,"Gym, Playground, Clubhouse, Garden, Pool",West,Owner,Under_Construction,609.071694,0,1,1
247466,Madhya Pradesh,Indore,Locality_83,Apartment,2,4718,282.46,0.06,2010,Semi-furnished,9,7,15,9,2,Medium,Yes,Yes,"Pool, Clubhouse, Garden, Playground",North,Builder,Under_Construction,411.08098559999996,0,1,1
128857,Odisha,Bhubaneswar,Locality_108,Independent House,2,4672,55.67,0.01,2012,Furnished,27,24,13,4,3,Medium,No,No,"Garden, Gym",North,Owner,Under_Construction,75.7913648,0,0,1
34525,West Bengal,Durgapur,Locality_385,Independent House,5,2729,203.63,0.07,1997,Semi-furnished,26,24,28,10,4,Low,Yes,Yes,"Clubhouse, Garden",North,Owner,Ready_to_Move,297.4179054,0,1,1
114952,Andhra Pradesh,Vijayawada,Locality_106,Apartment,3,4123,411.87,0.1,2019,Furnished,26,3,6,6,3,High,Yes,No,"Playground, Gym, Clubhouse, Garden",East,Owner,Under_Construction,588.7516902,0,1,1
101079,Bihar,Gaya,Locality_351,Villa,1,4253,262.67,0.06,2002,Furnished,11,15,23,9,9,High,No,Yes,"Clubhouse, Gym, Playground, Pool, Garden",West,Builder,Ready_to_Move,378.52323019999994,0,1,1
209307,Andhra Pradesh,Vijayawada,Locality_283,Villa,5,1875,67.4,0.04,2006,Semi-furnished,9,6,19,10,7,Low,No,No,"Clubhouse, Playground, Garden, Gym, Pool",South,Builder,Under_Construction,96.41570000000002,0,0,1
123692,Punjab,Ludhiana,Locality_292,Villa,5,650,270.94,0.42,1992,Unfurnished,22,21,33,3,6,High,Yes,No,"Pool, Garden, Gym",North,Builder,Under_Construction,360.3502,0,1,0
120450,Maharashtra,Mumbai,Locality_411,Apartment,3,3283,393.06,0.12,1993,Unfurnished,13,26,32,8,8,Low,No,Yes,"Pool, Clubhouse, Playground, Garden",East,Builder,Ready_to_Move,556.4393196,0,1,1
